"","D1S1A","D1S1B","D1S2A","D1S2B","D1S3A","D1S3B","D1S4A","D1S4B","D1S5A","D1S5B","D1S6A","D1S6B","D1S7A","D1S7B","D1S8A","D1S8B","D2S1A","D2S1B","D2S2A","D2S2B","D2S3A","D2S3B","D2S4A","D2S4B","D2S5A","D2S5B","D3S1A","D3S1B","D3S2A","D3S2B","D3S3A","D3S3B","D3S4A","D3S4B","D3S5A","D3S5B","D3S6A","D3S6B","D3S7A","D3S7B","D4S1A","D4S1B","D4S2A","D4S2B","D4S3A","D4S3B","D4S4A","D4S4B","D4S5A","D4S5B"
"Gymnocephalus cernua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perca fluviatilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
"Sander lucioperca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platichthys flesus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oncorhynchus mykiss",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmo salar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmo trutta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thymallus thymallus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lampetra fluviatilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,9,0,16,14,49,22,0,24,6,0,16,7
"Petromyzon marinus",24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,43,0,0,32,20,0,0,0,4,0,44,23,0,0,0,0,0,0,7,0,13,11,0,0,0,21,0,0,3,0,0,0
