#OTU_ID	D1FB	D1S1A	D1S1B	D1S2A	D1S2B	D1S3A	D1S3B	D1S4A	D1S4B	D1S5A	D1S5B	D1S6A	D1S6B	D1S7A	D1S7B	D1S8A	D1S8B	D2FB	D2S1A	D2S1B	D2S2A	D2S2B	D2S3A	D2S3B	D2S4A	D2S4B	D2S5A	D2S5B	D3FB	D3S1A	D3S1B	D3S2A	D3S2B	D3S3A	D3S3B	D3S4A	D3S4B	D3S5A	D3S5B	D3S6A	D3S6B	D3S7A	D3S7B	D4FB	D4S1A	D4S1B	D4S2A	D4S2B	D4S3A	D4S3B	D4S4A	D4S4B	D4S5A	D4S5B	EB08	EB09	EB10	NEG07	NEG08	NEG09	POS07	POS08	POS09	taxonomy
Salmo_salar	0	0	0	0	0	0	2013	0	0	0	1630	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	144	0	596	101	305	0	0	0	312	430	312	342	267	321	629	874	1161	695	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Salmo; s__Salmo_salar
Salmo_trutta	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	512	829	747	396	225	964	847	851	1499	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Salmo; s__Salmo_trutta
Thymallus_thymallus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	235	262	180	498	988	308	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Thymallus; s__Thymallus_thymallus
Anas_platyrhynchos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	99	0	0	0	0	0	0	0	0	8	4	61	0	18	0	44	67	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Anseriformes; f__Anatidae; g__Anas; s__Anas_platyrhynchos
Branta_canadensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	61	62	7	43	20	11	76	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Anseriformes; f__Anatidae; g__Branta; s__Branta_canadensis
Cygnus_olor	0	0	3	19	0	67	103	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	144	0	5	0	0	0	0	0	0	0	0	3	0	79	0	12	0	0	7	0	0	0	0	0	50	0	14	5	39	0	8	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Anseriformes; f__Anatidae; g__Cygnus; s__Cygnus_olor
Larus_glaucoides	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Charadriiformes; f__Laridae; g__Larus; s__Larus_glaucoides
Columba_oenas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Columbiformes; f__Columbidae; g__Columba; s__Columba_oenas
Columba_palumbus	0	0	0	0	0	22	0	8	0	0	0	0	90	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Columbiformes; f__Columbidae; g__Columba; s__Columba_palumbus
Corvus_corone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__Corvidae; g__Corvus; s__Corvus_corone
Pica_pica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__Corvidae; g__Pica; s__Pica_pica
Parus_major	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__Paridae; g__Parus; s__Parus_major
Lampetra_fluviatilis	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	40	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	64	0	0	0	0	0	0	9	0	0	16	14	49	22	47	24	6	34	16	7	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Hyperoartia; o__Petromyzontiformes; f__Petromyzontidae; g__Lampetra; s__Lampetra_fluviatilis
Petromyzon_marinus	0	24	0	0	0	0	0	0	0	4	0	0	0	0	131	0	0	0	0	0	43	0	0	32	20	0	0	0	0	4	0	44	23	0	62	54	0	0	73	7	0	13	11	0	0	0	0	21	0	53	3	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Hyperoartia; o__Petromyzontiformes; f__Petromyzontidae; g__Petromyzon; s__Petromyzon_marinus
Bos_taurus	0	3406	4346	2821	4900	6327	1760	4769	1574	4751	3126	465	2963	5099	5067	1933	3180	0	3352	2830	4695	4174	1446	6781	4300	1367	5493	2256	0	1719	1041	1038	1679	2551	2243	3201	2673	3685	1653	2009	2902	2805	1552	0	174	495	1521	900	363	240	528	315	492	377	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__Bos_taurus
